R;Spieler;Team;Pos;GP;PS;PSG;PSM;PS%;GWG PS
1;Giroux Alexandre;HC Ambri-Piotta;Stürmer;49;12;6;6;50;2
2;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;49;11;6;5;54.55;3
3;Klasen Linus;HC Lugano;Stürmer;46;11;6;5;54.55;1
4;Holloway Bud;SC Bern;Stürmer;42;10;6;4;60;2
5;Persson Niklas;SC Rapperswil-Jona Lakers;Stürmer;43;9;3;6;33.33;0
6;Sprunger Julien;Fribourg-Gottéron;Stürmer;50;8;2;6;25;0
7;Pettersson Fredrik;HC Lugano;Stürmer;49;8;6;2;75;3
8;Mieville Alain;Lausanne HC;Stürmer;49;8;2;6;25;1
9;Mauldin Greg;Fribourg-Gottéron;Stürmer;40;8;3;5;37.5;1
10;Martschini Lino;EV Zug;Stürmer;50;8;5;3;62.5;0
11;Hall Adam;HC Ambri-Piotta;Stürmer;50;8;4;4;50;0
12;Bouchard Pierre-Marc;EV Zug;Stürmer;49;8;5;3;62.5;1
13;Aucoin Keith;HC Ambri-Piotta;Stürmer;41;8;5;3;62.5;1
14;Danielsson Nicklas;SC Rapperswil-Jona Lakers;Stürmer;46;7;0;7;0;0
15;D'Agostini Matt;Genève-Servette HC;Stürmer;40;7;3;4;42.86;0
16;Zangger Sandro;EV Zug;Stürmer;36;6;3;3;50;3
17;Steiner Daniel;HC Ambri-Piotta;Stürmer;49;6;1;5;16.67;0
18;Rubin Daniel;Genève-Servette HC;Stürmer;46;6;1;5;16.67;0
19;Ritchie Byron;SC Bern;Stürmer;50;6;1;5;16.67;0
20;Obrist Patrick;SC Rapperswil-Jona Lakers;Stürmer;36;6;4;2;66.67;1
21;Nilsson Robert;ZSC Lions;Stürmer;44;6;1;5;16.67;1
22;McLean Brett;HC Lugano;Stürmer;47;6;0;6;0;0
23;Louhivaara Ossi;Lausanne HC;Stürmer;46;6;2;4;33.33;1
24;Loeffel Romain;Genève-Servette HC;Verteidiger;43;6;3;3;50;2
25;Lemm Romano;Kloten Flyers;Stürmer;42;6;4;2;66.67;2
26;Koistinen Ville;HC Davos;Verteidiger;40;6;3;3;50;0
27;Hollenstein Denis;Kloten Flyers;Stürmer;35;6;3;3;50;1
28;Holden Josh;EV Zug;Stürmer;34;6;1;5;16.67;0
29;Du Bois Felicien;HC Davos;Verteidiger;46;6;2;4;33.33;1
30;Simek Juraj;HC Lugano;Stürmer;39;5;1;4;20;0
31;Shannon Ryan;ZSC Lions;Stürmer;49;5;1;4;20;0
32;Pestoni Inti;HC Ambri-Piotta;Stürmer;30;5;2;3;40;2
33;Olausson Niklas;EHC Biel;Stürmer;37;5;2;3;40;2
34;Kamber Oliver;EHC Biel;Stürmer;50;5;2;3;40;0
35;Bürgler Dario;EV Zug;Stürmer;29;5;3;2;60;1
36;Bergeron Marc-André;ZSC Lions;Verteidiger;46;5;0;5;0;0
37;Axelsson Dick;HC Davos;Stürmer;45;5;1;4;20;0
38;Arlbrandt Pär;EHC Biel;Stürmer;48;5;2;3;40;0
39;Stancescu Victor;Kloten Flyers;Stürmer;39;4;1;3;25;0
40;Santala Tommi;Kloten Flyers;Stürmer;39;4;2;2;50;1
41;Romy Kevin;Genève-Servette HC;Stürmer;48;4;1;3;25;0
42;Pyatt Tom;Genève-Servette HC;Stürmer;50;4;2;2;50;0
43;Plüss Benny;Fribourg-Gottéron;Stürmer;30;4;2;2;50;0
44;Johansson Mikael;SC Rapperswil-Jona Lakers;Stürmer;40;4;0;4;0;0
45;Gardner Ryan;SC Bern;Stürmer;44;4;0;4;0;0
46;Filppula Ilari;HC Lugano;Stürmer;37;4;2;2;50;2
47;Deruns Thomas;Lausanne HC;Stürmer;36;4;1;3;25;1
48;Berger Pascal;SC Bern;Stürmer;50;4;0;4;0;0
49;Baltisberger Chris;ZSC Lions;Stürmer;47;4;2;2;50;0
50;Almond Cody;Genève-Servette HC;Stürmer;20;4;1;3;25;1
51;Wick Roman;ZSC Lions;Stürmer;49;3;0;3;0;0
52;Von Arx Jan;HC Davos;Verteidiger;42;3;0;3;0;0
53;Tambellini Jeff;Fribourg-Gottéron;Stürmer;30;3;2;1;66.67;0
54;Ruefenacht Thomas;SC Bern;Stürmer;45;3;1;2;33.33;0
55;Plüss Martin;SC Bern;Stürmer;50;3;0;3;0;0
56;Pesonen Harri;Lausanne HC;Stürmer;48;3;0;3;0;0
57;Mueller Peter;Kloten Flyers;Stürmer;34;3;0;3;0;0
58;Monnet Thibaut;Fribourg-Gottéron;Stürmer;35;3;1;2;33.33;0
59;Liniger Michael;Kloten Flyers;Stürmer;50;3;0;3;0;0
60;Lammer Dominic;EV Zug;Stürmer;44;3;0;3;0;0
61;Krueger Justin;SC Bern;Verteidiger;41;3;1;2;33.33;1
62;Hytönen Juha-Pekka;Lausanne HC;Stürmer;41;3;0;3;0;0
63;Guggisberg Peter;Kloten Flyers;Stürmer;42;3;0;3;0;0
64;Fazzini Luca;HC Lugano;Stürmer;36;3;0;3;0;0
65;Earl Robbie;EV Zug;Stürmer;48;3;0;3;0;0
66;Duca Paolo;HC Ambri-Piotta;Stürmer;48;3;0;3;0;0
67;Brunner Damien;HC Lugano;Stürmer;20;3;0;3;0;0
68;Bertschy Christoph;SC Bern;Stürmer;44;3;1;2;33.33;0
69;Wick Jeremy;Genève-Servette HC;Stürmer;20;2;0;2;0;0
70;Weisskopf Dan;SC Rapperswil-Jona Lakers;Verteidiger;43;2;1;1;50;0
71;Von Arx Reto;HC Davos;Stürmer;43;2;0;2;0;0
72;Trachsler Morris;ZSC Lions;Stürmer;50;2;0;2;0;0
73;Steinmann Janick;HC Lugano;Stürmer;37;2;0;2;0;0
74;Spylo Ahren;EHC Biel;Stürmer;45;2;1;1;50;1
75;Sciaroni Gregory;HC Davos;Stürmer;29;2;1;1;50;1
76;Schommer Patrick;SC Rapperswil-Jona Lakers;Stürmer;12;2;1;1;50;1
77;Rizzello Antonio;SC Rapperswil-Jona Lakers;Stürmer;46;2;1;1;50;1
78;Neukom Benjamin;SC Rapperswil-Jona Lakers;Stürmer;38;2;0;2;0;0
79;Murray Jordan;SC Rapperswil-Jona Lakers;Stürmer;40;2;0;2;0;0
80;Lombardi Matthew;Genève-Servette HC;Stürmer;19;2;0;2;0;0
81;Kuonen Raphael;SC Rapperswil-Jona Lakers;Stürmer;38;2;1;1;50;0
82;Künzle Mike;ZSC Lions;Stürmer;47;2;2;0;100;1
83;Keller Ryan;ZSC Lions;Stürmer;39;2;0;2;0;0
84;Kast Timothy;Genève-Servette HC;Stürmer;50;2;0;2;0;0
85;Hürlimann Stefan;SC Rapperswil-Jona Lakers;Stürmer;49;2;0;2;0;0
86;Herren Yannick;Lausanne HC;Stürmer;32;2;2;0;100;1
87;Genoway Colby;Lausanne HC;Stürmer;15;2;0;2;0;0
88;Froidevaux Etienne;Lausanne HC;Stürmer;50;2;0;2;0;0
89;Fransson Johan;SC Rapperswil-Jona Lakers;Verteidiger;32;2;0;2;0;0
90;Dostoinov Alexei;HC Ambri-Piotta;Stürmer;44;2;0;2;0;0
91;Corvi Enzo;HC Davos;Stürmer;40;2;0;2;0;0
92;Christen Björn;EV Zug;Stürmer;43;2;0;2;0;0
93;Bykov Andrey;Fribourg-Gottéron;Stürmer;21;2;2;0;100;2
94;Bodenmann Simon;Kloten Flyers;Stürmer;49;2;0;2;0;0
95;Bärtschi Patrik;ZSC Lions;Stürmer;45;2;1;1;50;0
96;Bang Daniel;Lausanne HC;Stürmer;30;2;0;2;0;0
97;Wieser Marc;HC Davos;Stürmer;47;1;0;1;0;0
98;Walsky Eric;SC Rapperswil-Jona Lakers;Stürmer;39;1;1;0;100;0
99;Walker Julian;HC Lugano;Stürmer;47;1;0;1;0;0
100;Vauclair Tristan;Fribourg-Gottéron;Stürmer;42;1;0;1;0;0
101;Tschantré Mathieu;EHC Biel;Stürmer;32;1;0;1;0;0
102;Suri Reto;EV Zug;Stürmer;50;1;0;1;0;0
103;Stucki Christian;HC Ambri-Piotta;Stürmer;32;1;0;1;0;0
104;St-Pierre Martin;Lausanne HC;Stürmer;3;1;0;1;0;0
105;Simion Dario;HC Davos;Stürmer;47;1;0;1;0;0
106;Schmutz Flavio;SC Rapperswil-Jona Lakers;Stürmer;5;1;1;0;100;0
107;Schlumpf Dominik;EV Zug;Verteidiger;50;1;0;1;0;0
108;Ruzicka Stefan;Lausanne HC;Stürmer;9;1;0;1;0;0
109;Rod Noah;Genève-Servette HC;Stürmer;38;1;0;1;0;0
110;Rivera Christopher;Genève-Servette HC;Stürmer;46;1;0;1;0;0
111;Pyatt Taylor;Genève-Servette HC;Stürmer;38;1;0;1;0;0
112;Profico Leandro;SC Rapperswil-Jona Lakers;Verteidiger;23;1;1;0;100;1
113;Pedretti Marco;SC Rapperswil-Jona Lakers;Stürmer;49;1;0;1;0;0
114;Paulsson Marcus;HC Davos;Stürmer;41;1;0;1;0;0
115;Paschoud Claude-C.;HC Davos;Verteidiger;50;1;0;1;0;0
116;Moser Simon;SC Bern;Stürmer;28;1;0;1;0;0
117;Lindgren Perttu;HC Davos;Stürmer;42;1;1;0;100;0
118;Lhotak Lukas;HC Ambri-Piotta;Stürmer;40;1;0;1;0;0
119;Leone Robin;Kloten Flyers;Stürmer;31;1;0;1;0;0
120;Kobasew Chuck;SC Bern;Stürmer;29;1;0;1;0;0
121;Kessler Tino;HC Davos;Stürmer;2;1;0;1;0;0
122;Kamerzin Jérémie;Fribourg-Gottéron;Verteidiger;38;1;0;1;0;0
123;Jörg Mauro;HC Davos;Stürmer;49;1;0;1;0;0
124;Joggi Mathias;EHC Biel;Stürmer;39;1;0;1;0;0
125;Jacquemet Arnaud;Genève-Servette HC;Stürmer;45;1;0;1;0;0
126;Hasani Adam;Fribourg-Gottéron;Stürmer;46;1;0;1;0;0
127;Hächler Cedric;SC Rapperswil-Jona Lakers;Verteidiger;50;1;0;1;0;0
128;Haas Gaëtan;EHC Biel;Stürmer;49;1;0;1;0;0
129;Gragnani Marc-André;SC Bern;Verteidiger;49;1;0;1;0;0
130;Genazzi Joël;Lausanne HC;Verteidiger;50;1;0;1;0;0
131;Furrer Philippe;SC Bern;Verteidiger;35;1;1;0;100;0
132;Friedli Samuel;SC Rapperswil-Jona Lakers;Stürmer;10;1;0;1;0;0
133;Dufner Mauro;SC Bern;Verteidiger;9;1;0;1;0;0
134;Conz Florian;Lausanne HC;Stürmer;39;1;0;1;0;0
135;Cloutier Keven;SC Bern;Stürmer;12;1;1;0;100;0
136;Brügger Sandro;Fribourg-Gottéron;Stürmer;42;1;0;1;0;0
137;Bertaggia Alessio;HC Lugano;Stürmer;49;1;0;1;0;0
138;Ambühl Andres;HC Davos;Stürmer;49;1;0;1;0;0
139;Aeschlimann Marc;HC Davos;Stürmer;16;1;1;0;100;1
140;Zgraggen Jesse;HC Ambri-Piotta;Verteidiger;28;0;0;0;-;0
141;Zanzi Gianluca;HC Lugano;Stürmer;1;0;0;0;-;0
142;Zangger Marc;Fribourg-Gottéron;Verteidiger;17;0;0;0;-;0
143;Wüst Philipp;Fribourg-Gottéron;Stürmer;1;0;0;0;-;0
144;Wirtanen Petteri;Fribourg-Gottéron;Stürmer;14;0;0;0;-;0
145;Wildhaber David;Fribourg-Gottéron;Verteidiger;5;0;0;0;-;0
146;Wieser Dino;HC Davos;Stürmer;38;0;0;0;-;0
147;Wetzel Philipp;EHC Biel;Stürmer;45;0;0;0;-;0
148;Wellinger Thomas;EHC Biel;Verteidiger;47;0;0;0;-;0
149;Walser Samuel;HC Davos;Stürmer;47;0;0;0;-;0
150;Walser Derrick;SC Rapperswil-Jona Lakers;Verteidiger;39;0;0;0;-;0
151;Vukovic Daniel;Genève-Servette HC;Verteidiger;50;0;0;0;-;0
152;Von Gunten Patrick;Kloten Flyers;Verteidiger;46;0;0;0;-;0
153;Vauclair Julien;HC Lugano;Verteidiger;38;0;0;0;-;0
154;Vandermeer James;Kloten Flyers;Verteidiger;43;0;0;0;-;0
155;Untersander Ramon;EHC Biel;Verteidiger;42;0;0;0;-;0
156;Umicevic Dragan;EHC Biel;Stürmer;44;0;0;0;-;0
157;Ulmer Stefan;HC Lugano;Verteidiger;35;0;0;0;-;0
158;Ulmer Martin;EHC Biel;Stürmer;9;0;0;0;-;0
159;Ulmann Tim;Lausanne HC;Stürmer;22;0;0;0;-;0
160;Trutmann Dario;Genève-Servette HC;Verteidiger;49;0;0;0;-;0
161;Trunz Adrian;HC Ambri-Piotta;Verteidiger;50;0;0;0;-;0
162;Traber Tim;Genève-Servette HC;Stürmer;29;0;0;0;-;0
163;Thibaudeau Nicolas;SC Rapperswil-Jona Lakers;Stürmer;46;0;0;0;-;0
164;Tallinder Henrik;ZSC Lions;Verteidiger;16;0;0;0;-;0
165;Tabacek Jan;ZSC Lions;Verteidiger;11;0;0;0;-;0
166;Sutter Fabian;EV Zug;Stürmer;50;0;0;0;-;0
167;Sutter Dave;Fribourg-Gottéron;Verteidiger;2;0;0;0;-;0
168;Studer Thomas;Kloten Flyers;Stürmer;1;0;0;0;-;0
169;Stoop Lukas;Kloten Flyers;Verteidiger;6;0;0;0;-;0
170;Stoffel Andri;ZSC Lions;Verteidiger;44;0;0;0;-;0
171;Steiner Nicholas;EHC Biel;Verteidiger;44;0;0;0;-;0
172;Steinauer Joel;Kloten Flyers;Verteidiger;2;0;0;0;-;0
173;Stämpfli David;EV Zug;Verteidiger;15;0;0;0;-;0
174;Stalder Ralph;Lausanne HC;Verteidiger;49;0;0;0;-;0
175;Sprukts Janis;Fribourg-Gottéron;Stürmer;7;0;0;0;-;0
176;Sondell Daniel;EV Zug;Verteidiger;46;0;0;0;-;0
177;Smith Derek;ZSC Lions;Verteidiger;25;0;0;0;-;0
178;Sitje Fredrik;ZSC Lions;Stürmer;8;0;0;0;-;0
179;Siegenthaler Jonas;ZSC Lions;Verteidiger;41;0;0;0;-;0
180;Sieber Lukas;SC Rapperswil-Jona Lakers;Stürmer;33;0;0;0;-;0
181;Sidler Patrick;HC Ambri-Piotta;Verteidiger;45;0;0;0;-;0
