R;Spieler;Team;Pos;GP;PS;PSG;PSM;PS%;GWG PS
182;Seydoux Philippe;Lausanne HC;Verteidiger;19;0;0;0;-;0
183;Senteler Sven;ZSC Lions;Stürmer;40;0;0;0;-;0
184;Seger Mathias;ZSC Lions;Verteidiger;42;0;0;0;-;0
185;Schwarzenbach Diego;Fribourg-Gottéron;Stürmer;2;0;0;0;-;0
186;Schnyder Fabian;EV Zug;Stürmer;50;0;0;0;-;0
187;Schnyder Daniel;ZSC Lions;Verteidiger;44;0;0;0;-;0
188;Schneeberger Noah;HC Davos;Verteidiger;46;0;0;0;-;0
189;Schmutz Reto;SC Rapperswil-Jona Lakers;Stürmer;23;0;0;0;-;0
190;Schmuckli Florian;ZSC Lions;Verteidiger;6;0;0;0;-;0
191;Schlagenhauf Roman;HC Ambri-Piotta;Stürmer;48;0;0;0;-;0
192;Schilt Sebastian;Fribourg-Gottéron;Verteidiger;49;0;0;0;-;0
193;Scherwey Tristan;SC Bern;Stürmer;45;0;0;0;-;0
194;Schelling Philippe;Kloten Flyers;Verteidiger;49;0;0;0;-;0
195;Schäppi Reto;ZSC Lions;Stürmer;50;0;0;0;-;0
196;Savary Paul;Lausanne HC;Stürmer;44;0;0;0;-;0
197;Sataric Rajan;SC Rapperswil-Jona Lakers;Verteidiger;47;0;0;0;-;0
198;Sartori Riccardo;HC Lugano;Verteidiger;37;0;0;0;-;0
199;Sartori Jonathan;HC Lugano;Stürmer;3;0;0;0;-;0
200;Sannitz Raffaele;HC Lugano;Stürmer;48;0;0;0;-;0
201;Samson Jérôme;EHC Biel;Stürmer;12;0;0;0;-;0
202;Rytz Philippe;Lausanne HC;Verteidiger;50;0;0;0;-;0
203;Ryser Sven;SC Rapperswil-Jona Lakers;Stürmer;40;0;0;0;-;0
204;Ruutu Jarkko;EHC Biel;Stürmer;4;0;0;0;-;0
205;Rouiller Anthony;EHC Biel;Verteidiger;18;0;0;0;-;0
206;Rossi Matthias;EHC Biel;Stürmer;49;0;0;0;-;0
207;Romanenghi Matteo;HC Lugano;Stürmer;16;0;0;0;-;0
208;Reuille Sebastien;HC Lugano;Stürmer;41;0;0;0;-;0
209;Repik Michal;EV Zug;Stürmer;4;0;0;0;-;0
210;Reichert Marc;SC Bern;Stürmer;37;0;0;0;-;0
211;Redenbach Tyler;HC Davos;Stürmer;3;0;0;0;-;0
212;Ranger Paul;Kloten Flyers;Verteidiger;27;0;0;0;-;0
213;Randegger Gian-Andrea;Kloten Flyers;Verteidiger;44;0;0;0;-;0
214;Randegger Flurin;SC Bern;Verteidiger;50;0;0;0;-;0
215;Ramholt Tim;EV Zug;Verteidiger;50;0;0;0;-;0
216;Praplan Vincent;Kloten Flyers;Stürmer;46;0;0;0;-;0
217;Picard Alexandre;Genève-Servette HC;Stürmer;30;0;0;0;-;0
218;Peter Emanuel;EHC Biel;Stürmer;45;0;0;0;-;0
219;Paakkolanvaara Tommi;HC Lugano;Stürmer;5;0;0;0;-;0
220;O'Byrne Ryan;HC Ambri-Piotta;Verteidiger;13;0;0;0;-;0
221;Nodari Matteo;Lausanne HC;Verteidiger;26;0;0;0;-;0
222;Ngoy Michael;Fribourg-Gottéron;Verteidiger;50;0;0;0;-;0
223;Neuenschwander Jan;ZSC Lions;Stürmer;30;0;0;0;-;0
224;Neuenschwander Caryl;Lausanne HC;Stürmer;46;0;0;0;-;0
225;Ness Martin;Fribourg-Gottéron;Stürmer;25;0;0;0;-;0
226;Murray Brady;Kloten Flyers;Stürmer;28;0;0;0;-;0
227;Müller Marco;SC Bern;Stürmer;20;0;0;0;-;0
228;Müller Loris;HC Lugano;Stürmer;1;0;0;0;-;0
229;Mottet Killian;Fribourg-Gottéron;Stürmer;50;0;0;0;-;0
230;Mosimann Jan;EHC Biel;Stürmer;6;0;0;0;-;0
231;Moser Christian;EHC Biel;Verteidiger;10;0;0;0;-;0
232;Morant Johan;EV Zug;Verteidiger;5;0;0;0;-;0
233;Montandon Maxime;Fribourg-Gottéron;Verteidiger;37;0;0;0;-;0
234;Merola Melvin;Fribourg-Gottéron;Stürmer;3;0;0;0;-;0
235;Mercier Jonathan;Genève-Servette HC;Verteidiger;40;0;0;0;-;0
236;Maurer Marco;HC Lugano;Verteidiger;38;0;0;0;-;0
237;Matewa Tony;Fribourg-Gottéron;Verteidiger;2;0;0;0;-;0
238;Marti Christian;Genève-Servette HC;Verteidiger;32;0;0;0;-;0
239;Marti Aurélien;Lausanne HC;Verteidiger;3;0;0;0;-;0
240;Marghitola Daniele;Fribourg-Gottéron;Verteidiger;1;0;0;0;-;0
241;Maret Mathieu;Fribourg-Gottéron;Verteidiger;3;0;0;0;-;0
242;Marchon Nathan;Fribourg-Gottéron;Stürmer;2;0;0;0;-;0
243;Marchon Marc;EV Zug;Stürmer;4;0;0;0;-;0
244;Malgin Denis;ZSC Lions;Stürmer;23;0;0;0;-;0
245;Lüthi Valentin;SC Rapperswil-Jona Lakers;Verteidiger;14;0;0;0;-;0
246;Lüthi Simon;EV Zug;Verteidiger;33;0;0;0;-;0
247;Lüthi Fabian;HC Ambri-Piotta;Stürmer;34;0;0;0;-;0
248;Loichat Michaël;SC Bern;Stürmer;46;0;0;0;-;0
249;Leino Ville;Kloten Flyers;Stürmer;4;0;0;0;-;0
250;Leeger Larri;Lausanne HC;Verteidiger;50;0;0;0;-;0
251;Lauper Adrien;HC Ambri-Piotta;Stürmer;45;0;0;0;-;0
252;Lardi Federico;Lausanne HC;Verteidiger;37;0;0;0;-;0
253;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;42;0;0;0;-;0
254;Kreis Samuel;SC Bern;Verteidiger;48;0;0;0;-;0
255;Kparghai Clarence;HC Lugano;Verteidiger;34;0;0;0;-;0
256;Kostner Diego;HC Lugano;Stürmer;36;0;0;0;-;0
257;Kobach Reto;HC Ambri-Piotta;Verteidiger;42;0;0;0;-;0
258;Knutti Luca;Fribourg-Gottéron;Stürmer;2;0;0;0;-;0
259;Kinrade Geoff;HC Ambri-Piotta;Verteidiger;5;0;0;0;-;0
260;Kindschi Simon;HC Davos;Verteidiger;34;0;0;0;-;0
261;Kienzle Lorenz;HC Lugano;Verteidiger;49;0;0;0;-;0
262;Kellenberger Steve;Kloten Flyers;Stürmer;46;0;0;0;-;0
263;Karrer Roger;ZSC Lions;Verteidiger;5;0;0;0;-;0
264;Jung Sven;HC Davos;Verteidiger;21;0;0;0;-;0
265;Joensuu Jesse;SC Bern;Stürmer;15;0;0;0;-;0
266;Jobin David;SC Bern;Verteidiger;42;0;0;0;-;0
267;Jeyabalan Nando;SC Rapperswil-Jona Lakers;Stürmer;1;0;0;0;-;0
268;Jenni Marcel;Kloten Flyers;Stürmer;10;0;0;0;-;0
269;Jelovac Igor;EHC Biel;Verteidiger;33;0;0;0;-;0
270;Jecker Benoit;EHC Biel;Verteidiger;43;0;0;0;-;0
271;Impose Auguste;Genève-Servette HC;Stürmer;4;0;0;0;-;0
272;Iglesias Frédéric;Genève-Servette HC;Verteidiger;38;0;0;0;-;0
273;Hüsler Cedric;SC Rapperswil-Jona Lakers;Stürmer;6;0;0;0;-;0
274;Huguenin Anthony;Fribourg-Gottéron;Verteidiger;50;0;0;0;-;0
275;Horansky Stanislav;EHC Biel;Stürmer;3;0;0;0;-;0
276;Högger Fabio;Kloten Flyers;Stürmer;2;0;0;0;-;0
277;Hofmann Gregory;HC Davos;Stürmer;47;0;0;0;-;0
278;Hirschi Steve;HC Lugano;Verteidiger;33;0;0;0;-;0
279;Herzog Fabrice;EV Zug;Stürmer;43;0;0;0;-;0
280;Herburger Raphael;EHC Biel;Stürmer;41;0;0;0;-;0
281;Heldner Fabian;HC Davos;Verteidiger;9;0;0;0;-;0
282;Helbling Timo;Fribourg-Gottéron;Verteidiger;45;0;0;0;-;0
283;Heitzmann Remo;SC Rapperswil-Jona Lakers;Stürmer;30;0;0;0;-;0
284;Hartmann Jan Lee;Kloten Flyers;Stürmer;1;0;0;0;-;0
285;Harlacher Edson;Kloten Flyers;Verteidiger;30;0;0;0;-;0
286;Guerra Samuel;HC Davos;Verteidiger;45;0;0;0;-;0
287;Grossniklaus Tim;SC Bern;Verteidiger;8;0;0;0;-;0
288;Grossmann Robin;EV Zug;Verteidiger;50;0;0;0;-;0
289;Grigioni Manuel;SC Rapperswil-Jona Lakers;Verteidiger;20;0;0;0;-;0
290;Grieder Marc;HC Ambri-Piotta;Verteidiger;29;0;0;0;-;0
291;Grassi Daniele;HC Ambri-Piotta;Stürmer;27;0;0;0;-;0
292;Granak Dominik;Fribourg-Gottéron;Verteidiger;14;0;0;0;-;0
293;Gossweiler Manuel;EHC Biel;Verteidiger;33;0;0;0;-;0
294;Gobbi John;Lausanne HC;Verteidiger;50;0;0;0;-;0
295;Gloor Kevin;EHC Biel;Verteidiger;22;0;0;0;-;0
296;Girard Felix;Genève-Servette HC;Stürmer;4;0;0;0;-;0
297;Geyer Cyrill;SC Rapperswil-Jona Lakers;Verteidiger;34;0;0;0;-;0
298;Gerber Roland;Genève-Servette HC;Stürmer;45;0;0;0;-;0
299;Gerber Beat;SC Bern;Verteidiger;39;0;0;0;-;0
300;Geering Patrick;ZSC Lions;Verteidiger;25;0;0;0;-;0
301;Gautschi Marc;HC Ambri-Piotta;Verteidiger;46;0;0;0;-;0
302;Fuchs Jason;HC Ambri-Piotta;Stürmer;39;0;0;0;-;0
303;Fritsche John;Fribourg-Gottéron;Stürmer;50;0;0;0;-;0
304;Fritsche Dan;ZSC Lions;Stürmer;46;0;0;0;-;0
305;Frick Lukas;Kloten Flyers;Verteidiger;49;0;0;0;-;0
306;Frei Lars;SC Rapperswil-Jona Lakers;Stürmer;15;0;0;0;-;0
307;Forster Beat;HC Davos;Verteidiger;15;0;0;0;-;0
308;Fischer Simon;Lausanne HC;Stürmer;32;0;0;0;-;0
309;Fischer Jannik;Lausanne HC;Verteidiger;50;0;0;0;-;0
310;Fey Kevin;EHC Biel;Verteidiger;49;0;0;0;-;0
311;Erni Samuel;EV Zug;Verteidiger;47;0;0;0;-;0
312;El Assaoui Sami;Kloten Flyers;Verteidiger;6;0;0;0;-;0
313;Eigenmann Daniel;SC Rapperswil-Jona Lakers;Verteidiger;11;0;0;0;-;0
314;Ehrensperger Gianni;EHC Biel;Stürmer;30;0;0;0;-;0
315;Egli Chris;HC Davos;Stürmer;2;0;0;0;-;0
316;Dupont Micki;Kloten Flyers;Verteidiger;48;0;0;0;-;0
317;Dupertuis Joey;Genève-Servette HC;Verteidiger;6;0;0;0;-;0
318;Dünner Nico;EV Zug;Stürmer;22;0;0;0;-;0
319;Dubé Christian;Fribourg-Gottéron;Stürmer;46;0;0;0;-;0
320;Douay Floran;Genève-Servette HC;Stürmer;12;0;0;0;-;0
321;Diem Nolan;EV Zug;Stürmer;47;0;0;0;-;0
322;Diem Dominik;ZSC Lions;Stürmer;1;0;0;0;-;0
323;Devaja Dominik;Kloten Flyers;Stürmer;5;0;0;0;-;0
324;Dal Pian Giacomo;HC Lugano;Stürmer;34;0;0;0;-;0
325;Cunti Luca;ZSC Lions;Stürmer;34;0;0;0;-;0
326;Chiriaev Evgenï;Fribourg-Gottéron;Stürmer;2;0;0;0;-;0
327;Chiesa Alessandro;HC Lugano;Verteidiger;49;0;0;0;-;0
328;Chavaillaz Benjamin;HC Ambri-Piotta;Verteidiger;49;0;0;0;-;0
329;Casutt Corsin;Kloten Flyers;Stürmer;48;0;0;0;-;0
330;Camperchioli Luca;HC Davos;Verteidiger;24;0;0;0;-;0
331;Cadonau Claudio;EHC Biel;Verteidiger;46;0;0;0;-;0
332;Büsser Xeno;ZSC Lions;Verteidiger;1;0;0;0;-;0
333;Burki Codey;Fribourg-Gottéron;Stürmer;2;0;0;0;-;0
334;Bühler Cyrill;Kloten Flyers;Stürmer;30;0;0;0;-;0
335;Brunold Alain;Fribourg-Gottéron;Stürmer;1;0;0;0;-;0
336;Bouillon Francis;HC Ambri-Piotta;Verteidiger;31;0;0;0;-;0
337;Botta Roman;Fribourg-Gottéron;Stürmer;2;0;0;0;-;0
338;Bonnet Julien;HC Ambri-Piotta;Verteidiger;2;0;0;0;-;0
339;Blum Eric-Ray;SC Bern;Verteidiger;50;0;0;0;-;0
340;Blindenbacher Severin;ZSC Lions;Verteidiger;46;0;0;0;-;0
341;Blatter Patrick;SC Rapperswil-Jona Lakers;Verteidiger;10;0;0;0;-;0
342;Blaser Yannick;EV Zug;Verteidiger;32;0;0;0;-;0
343;Birbaum Alain;HC Ambri-Piotta;Verteidiger;48;0;0;0;-;0
344;Bieber Matthias;Kloten Flyers;Stürmer;50;0;0;0;-;0
345;Bianchi Elias;HC Ambri-Piotta;Stürmer;36;0;0;0;-;0
346;Bezina Goran;Genève-Servette HC;Verteidiger;40;0;0;0;-;0
347;Berthon Eliot;EHC Biel;Stürmer;25;0;0;0;-;0
348;Berger Sven;SC Rapperswil-Jona Lakers;Verteidiger;47;0;0;0;-;0
349;Berger Nils;SC Rapperswil-Jona Lakers;Stürmer;43;0;0;0;-;0
350;Berger Alain;SC Bern;Stürmer;50;0;0;0;-;0
351;Bastl Mark;ZSC Lions;Stürmer;23;0;0;0;-;0
352;Balmelli Lukas;HC Lugano;Stürmer;4;0;0;0;-;0
353;Back Rene;Kloten Flyers;Verteidiger;50;0;0;0;-;0
354;Bachofner Jérôme;ZSC Lions;Stürmer;7;0;0;0;-;0
355;Augsburger Gaëtan;Lausanne HC;Stürmer;33;0;0;0;-;0
356;Antonietti Eliot;Genève-Servette HC;Verteidiger;48;0;0;0;-;0
357;Antonietti Benjamin;Lausanne HC;Stürmer;39;0;0;0;-;0
358;Andersson Jonas;Kloten Flyers;Stürmer;5;0;0;0;-;0
359;Andersson Calle;HC Lugano;Verteidiger;48;0;0;0;-;0
360;Alatalo Santeri;EV Zug;Verteidiger;47;0;0;0;-;0
361;Ahlström Philip;HC Lugano;Verteidiger;10;0;0;0;-;0
362;Abplanalp Marc;Fribourg-Gottéron;Verteidiger;39;0;0;0;-;0
